"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Quest Global",NA,"IT Services & Consulting","Bangalore / Bengaluru",8.9226582995244,45,3.5,2800,0.202
"Shoppers Stop",121,"Other","Mumbai",10.3089526606443,83,4,2800,0.069
"Nokia",8,"Other","Bangalore / Bengaluru",8.00636756765025,165,4,2800,0.156
"Fujitsu",19,"IT Services & Consulting","Pune",8.00636756765025,39,3.8,2800,0.169
"UnitedHealth",20,"Healthcare","Other",10.3089526606443,17,4,2800,0.148
"IDFC FIRST Bharat",77,"Financial Services","Chennai",10.3089526606443,396,4.2,2800,0.051
"Suzlon Group",18,"Other","Pune",8.9226582995244,134,4,2700,0.075
"Apollo Tyres",51,"Auto Components","Chennai",8.00636756765025,176,4,2700,0.096
"DS Group",65,"Other","Other",8.9226582995244,272,4.1,2700,0.074
"Eternal Limited",15,"Internet","Other",8.00636756765025,215,3.6,2700,0.137
"Fiserv",15,"Other","Pune",8.9226582995244,32,2.8,2700,0.176
"Whitehat jr",66,"Other","Mumbai",5.85936070647464,49,3.3,2700,0.095
"Tata Elxsi",13,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,30,3.6,2700,0.215
"Indus Towers",18,"Other","Other",8.00636756765025,224,3.6,2700,0.087
"ESAF Small Finance Bank",159,"Other","Other",10.3089526606443,426,3.6,2700,0.073
"IKS Health",64,"Healthcare","Mumbai",10.3089526606443,30,3.5,2700,0.107
"VVDN Technologies",41,"IT Services & Consulting","Other",10.3089526606443,49,3.6,2700,0.129
"Yazaki",NA,"Auto Components","Pune",NA,90,3.9,2700,0.086
"Landmark Group",28,"Other","Bangalore / Bengaluru",11.9183905730784,165,3.9,2600,0.09
"Shree Cement",20,"Other","Other",6.62073965107352,244,3.8,2600,0.095
