"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Prasol Chemicals",26,"Other","Mumbai",8.00636756765025,2.30258509299405,3.4,5.23644196282995,-4.50986000618377
"CloudMoyo",15,"Software Product","Pune",5.85936070647464,0.693147180559945,4.1,5.23644196282995,-4.42284862919414
"Towell Engineering Group",54,"Engineering & Construction","Other",8.00636756765025,2.70805020110221,3.7,5.23644196282995,-5.32261005911708
"Kinetic Green Energy And Power Solutions",16,"Other","Pune",NA,3.25809653802148,3.3,5.23644196282995,-4.75715654298597
"Six Sigma Soft Solutions",16,"IT Services & Consulting","Chennai",4.83230575857184,3.13549421592915,3.6,5.23644196282995,-4.3428059215206
"KC Overseas Education",45,"Other","Other",5.85936070647464,3.25809653802148,3.6,5.23644196282995,-4.70942020736189
"MyCaptain",13,"Internet","Bangalore / Bengaluru",4.83230575857184,2.19722457733622,3.3,5.23644196282995,-5.28638879568276
"Odisha Power Generation Corporation",34,"Other","Other",5.85936070647464,2.30258509299405,3.8,5.23644196282995,-4.97623386737892
"Laxmi Remote India",31,"Pharma","Other",NA,1.94591014905531,3.3,5.23644196282995,-4.97189546578033
"Horiba India",78,NA,"Other",NA,NA,3.4,5.23644196282995,-4.60517018598809
"Puthur Infotech",39,"IT Services & Consulting","Bangalore / Bengaluru",8.9226582995244,3.85014760171006,3.7,5.23644196282995,-4.94064292227622
"Cloud Analogy",38,"IT Services & Consulting","Other",5.85936070647464,2.39789527279837,3.8,5.23110861685459,-4.42284862919414
"Affine",39,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,1.38629436111989,3.3,5.23110861685459,-4.26869794936688
"ZingHR",87,"IT Services & Consulting","Mumbai",4.83230575857184,2.07944154167984,3,5.23644196282995,-4.50986000618377
